market_id,entry_secs,entry_price,side,resolution,win,ep_bin
1367600,46,0.995,UP,1,True,>0.96
1367604,46,0.985,UP,1,True,>0.96
1367607,43,0.965,DOWN,0,True,>0.96
1367609,31,0.935,UP,1,True,0.93-0.96
1367610,42,0.985,DOWN,0,True,>0.96
1367611,47,0.955,UP,1,True,0.93-0.96
1367613,48,0.955,DOWN,0,True,0.93-0.96
1367614,31,0.995,DOWN,0,True,>0.96
1367615,33,0.995,UP,1,True,>0.96
1367620,46,0.975,DOWN,0,True,>0.96
1367622,46,0.995,DOWN,0,True,>0.96
1367647,42,0.92,DOWN,0,True,0.90-0.93
1367650,46,0.905,DOWN,0,True,0.90-0.93
1367651,44,0.95,DOWN,0,True,0.93-0.96
1367654,44,0.97,DOWN,0,True,>0.96
1367659,47,0.885,UP,1,True,0.88-0.90
1367660,47,0.935,UP,1,True,0.93-0.96
1367662,36,0.995,DOWN,0,True,>0.96
1367679,47,0.995,UP,1,True,>0.96
1367680,45,0.935,UP,1,True,0.93-0.96
1367681,46,0.95,DOWN,0,True,0.93-0.96
1367682,46,0.995,UP,1,True,>0.96
1367684,45,0.965,DOWN,0,True,>0.96
1367686,45,0.925,UP,1,True,0.90-0.93
1367687,44,0.94,UP,1,True,0.93-0.96
1367690,45,0.995,UP,1,True,>0.96
1367691,37,0.95,UP,1,True,0.93-0.96
1367693,47,0.96,UP,1,True,0.93-0.96
1367694,47,0.975,DOWN,0,True,>0.96
1367770,47,0.945,DOWN,0,True,0.93-0.96
1367771,30,0.96,DOWN,0,True,0.93-0.96
1367772,46,0.94,DOWN,0,True,0.93-0.96
1367780,46,0.935,UP,1,True,0.93-0.96
1367786,46,0.985,UP,1,True,>0.96
1367789,43,0.985,UP,1,True,>0.96
1367791,41,0.975,DOWN,0,True,>0.96
1367794,46,0.985,UP,1,True,>0.96
1367795,48,0.995,DOWN,0,True,>0.96
1367805,46,0.97,UP,1,True,>0.96
1367808,47,0.925,UP,1,True,0.90-0.93
1367809,46,0.965,UP,1,True,>0.96
1367810,45,0.97,DOWN,0,True,>0.96
1367812,43,0.995,UP,1,True,>0.96
1367813,46,0.97,UP,1,True,>0.96
1367814,45,0.91,UP,1,True,0.90-0.93
1367816,42,0.94,UP,1,True,0.93-0.96
1367820,46,0.96,UP,1,True,0.93-0.96
1367821,48,0.995,UP,1,True,>0.96
1367822,44,0.945,DOWN,0,True,0.93-0.96
1367826,48,0.95,DOWN,0,True,0.93-0.96
1367827,47,0.955,UP,1,True,0.93-0.96
1367828,45,0.9,DOWN,0,True,0.88-0.90
1367829,45,0.915,UP,1,True,0.90-0.93
1367830,48,0.96,DOWN,0,True,0.93-0.96
1367831,45,0.905,UP,1,True,0.90-0.93
1367837,47,0.97,UP,1,True,>0.96
1367838,46,0.91,UP,1,True,0.90-0.93
1367839,42,0.935,UP,1,True,0.93-0.96
1367842,44,0.925,DOWN,0,True,0.90-0.93
1367849,26,0.935,DOWN,0,True,0.93-0.96
1367851,48,0.995,DOWN,0,True,>0.96
1367852,25,0.915,DOWN,0,True,0.90-0.93
1367854,45,0.995,UP,1,True,>0.96
1367855,44,0.975,DOWN,0,True,>0.96
1367858,45,0.91,UP,1,True,0.90-0.93
1367859,43,0.965,DOWN,0,True,>0.96
1367860,45,0.945,DOWN,0,True,0.93-0.96
1367872,46,0.995,UP,1,True,>0.96
1367874,42,0.915,DOWN,0,True,0.90-0.93
1367875,45,0.995,UP,1,True,>0.96
1367876,43,0.975,UP,1,True,>0.96
1367877,47,0.995,DOWN,0,True,>0.96
1367879,44,0.945,UP,1,True,0.93-0.96
1367880,12,0.935,UP,1,True,0.93-0.96
1367881,44,0.995,DOWN,0,True,>0.96
1367882,47,0.955,DOWN,0,True,0.93-0.96
1367883,43,0.985,UP,1,True,>0.96
1367885,30,0.985,UP,1,True,>0.96
1367887,46,0.905,DOWN,0,True,0.90-0.93
1367888,46,0.895,UP,1,True,0.88-0.90
1367889,47,0.935,DOWN,0,True,0.93-0.96
1367896,47,0.985,DOWN,0,True,>0.96
1367897,46,0.975,DOWN,0,True,>0.96
1367898,45,0.995,UP,1,True,>0.96
1367900,42,0.995,UP,1,True,>0.96
1367901,44,0.995,DOWN,0,True,>0.96
1367903,43,0.925,UP,1,True,0.90-0.93
1367904,45,0.965,DOWN,0,True,>0.96
1367906,45,0.975,UP,1,True,>0.96
1367907,44,0.985,DOWN,0,True,>0.96
1367913,43,0.995,DOWN,0,True,>0.96
1367918,46,0.985,DOWN,0,True,>0.96
1367919,46,0.975,DOWN,0,True,>0.96
1367922,47,0.935,UP,1,True,0.93-0.96
1367923,47,0.965,UP,1,True,>0.96
1367925,31,0.885,DOWN,0,True,0.88-0.90
1367926,47,0.925,DOWN,0,True,0.90-0.93
1367930,31,0.965,DOWN,0,True,>0.96
1367934,34,0.98,DOWN,0,True,>0.96
1367935,46,0.995,UP,1,True,>0.96
1367938,46,0.885,DOWN,0,True,0.88-0.90
1367941,44,0.955,DOWN,0,True,0.93-0.96
1367943,44,0.955,UP,1,True,0.93-0.96
1367944,43,0.905,DOWN,0,True,0.90-0.93
1367946,44,0.985,UP,1,True,>0.96
1367948,43,0.995,DOWN,0,True,>0.96
1367953,45,0.955,UP,1,True,0.93-0.96
1367954,47,0.915,UP,1,True,0.90-0.93
1367955,44,0.945,UP,1,True,0.93-0.96
1367962,35,0.945,UP,1,True,0.93-0.96
1367964,48,0.895,DOWN,0,True,0.88-0.90
1367967,46,0.965,DOWN,0,True,>0.96
1367968,44,0.975,UP,1,True,>0.96
1367969,45,0.925,UP,1,True,0.90-0.93
1367979,48,0.985,DOWN,0,True,>0.96
1367980,44,0.965,DOWN,0,True,>0.96
1367984,43,0.91,DOWN,0,True,0.90-0.93
1367986,42,0.985,DOWN,0,True,>0.96
1367990,41,0.935,UP,1,True,0.93-0.96
1368000,42,0.995,DOWN,0,True,>0.96
1368001,48,0.96,UP,1,True,0.93-0.96
1368003,42,0.935,UP,1,True,0.93-0.96
1368004,42,0.95,UP,1,True,0.93-0.96
1368017,47,0.94,DOWN,0,True,0.93-0.96
1368018,42,0.925,DOWN,0,True,0.90-0.93
1368021,45,0.915,DOWN,0,True,0.90-0.93
1368023,46,0.935,UP,1,True,0.93-0.96
1368027,45,0.895,UP,1,True,0.88-0.90
1368029,43,0.98,UP,1,True,>0.96
1368031,43,0.975,DOWN,0,True,>0.96
1368035,44,0.955,DOWN,0,True,0.93-0.96
1368037,46,0.915,UP,1,True,0.90-0.93
1368043,45,0.995,DOWN,0,True,>0.96
1368044,44,0.945,DOWN,0,True,0.93-0.96
1368090,46,0.955,UP,1,True,0.93-0.96
