market_id,entry_secs,entry_price,side,resolution,win
1884811,53,0.88,DOWN,0,True
1884841,60,0.93,DOWN,0,True
1884858,34,0.88,DOWN,1,False
1884869,28,0.88,UP,1,True
1884878,31,0.88,DOWN,0,True
1884898,60,0.91,DOWN,0,True
1885005,47,0.89,DOWN,0,True
1885024,0,0.99,DOWN,0,True
1885037,0,0.99,DOWN,0,True
1885110,60,0.99,UP,1,True
1885122,30,0.88,DOWN,0,True
1885179,25,0.88,UP,0,False
1885195,60,0.95,UP,1,True
1885225,60,0.99,DOWN,0,True
1885229,47,0.88,UP,1,True
1885250,60,0.91,DOWN,0,True
1885257,60,0.98,DOWN,0,True
1885297,22,0.89,DOWN,0,True
1885416,1,0.98,UP,1,True
1885483,0,0.99,DOWN,0,True
1885545,60,0.94,UP,1,True
1885551,60,0.92,UP,1,True
1885561,7,0.88,UP,1,True
1885566,50,0.89,DOWN,0,True
1885599,60,0.99,UP,1,True
1885607,60,0.92,DOWN,0,True
1885613,9,0.9,UP,1,True
1885629,2,0.97,UP,1,True
1885642,60,0.92,UP,1,True
1885766,7,0.88,UP,1,True
1885811,48,0.88,DOWN,0,True
1885821,0,0.99,UP,1,True
1885880,60,0.93,UP,1,True
1885889,60,0.99,UP,1,True
1885906,1,0.95,UP,1,True
1885919,50,0.9,DOWN,0,True
1885946,58,0.91,UP,1,True
1885950,34,0.88,UP,1,True
1885969,60,0.93,DOWN,0,True
1885973,28,0.88,UP,1,True
1886146,0,0.99,DOWN,0,True
1886484,48,0.88,DOWN,0,True
1886786,60,0.92,DOWN,0,True
1886846,60,0.98,DOWN,0,True
1886864,21,0.88,DOWN,0,True
1887156,52,0.88,UP,1,True
1887159,60,0.99,UP,1,True
1887193,60,0.97,UP,1,True
1887201,3,0.92,UP,1,True
1887211,60,0.99,UP,1,True
1887222,60,0.97,DOWN,0,True
1887441,60,0.88,DOWN,0,True
1887555,60,0.91,DOWN,0,True
1887579,24,0.88,UP,1,True
1887591,30,0.9,DOWN,0,True
1887646,33,0.9,UP,0,False
1887657,38,0.9,DOWN,0,True
1887878,60,0.94,DOWN,0,True
1887887,34,0.9,DOWN,0,True
1887922,60,0.93,UP,1,True
1887928,60,0.97,DOWN,0,True
1887937,1,0.99,DOWN,0,True
1887950,21,0.89,UP,1,True
1888036,60,0.91,DOWN,1,False
1888161,60,0.94,DOWN,0,True
1888184,32,0.89,DOWN,0,True
1888192,60,0.91,DOWN,0,True
1888254,0,0.99,DOWN,0,True
1888263,59,0.91,DOWN,1,False
1888266,60,0.92,UP,1,True
1888274,60,0.95,DOWN,0,True
1888308,60,0.99,UP,1,True
1888330,1,0.99,UP,1,True
1888346,60,0.9,DOWN,0,True
1888351,60,0.96,UP,1,True
1888367,17,0.92,UP,0,False
1888488,19,0.97,DOWN,0,True
1888498,60,0.92,DOWN,0,True
1888504,60,0.94,UP,1,True
1888574,37,0.88,UP,1,True
1888615,60,0.92,DOWN,0,True
1888624,60,0.97,UP,1,True
1888654,58,0.88,DOWN,0,True
1888666,56,0.88,UP,1,True
1888668,3,0.97,DOWN,0,True
1888683,40,0.9,DOWN,0,True
1888713,60,0.92,DOWN,0,True
1888844,60,0.98,UP,1,True
1888852,55,0.88,DOWN,0,True
1888859,60,0.94,UP,1,True
1888954,60,0.94,DOWN,1,False
1888966,58,0.93,UP,1,True
1888979,60,0.99,DOWN,0,True
1888983,60,0.99,UP,1,True
1889021,53,0.88,UP,1,True
1889044,36,0.88,UP,1,True
1889060,3,0.92,DOWN,0,True
1889065,60,0.94,UP,1,True
1889086,40,0.88,DOWN,0,True
1889205,60,0.91,UP,1,True
1889211,60,0.99,UP,1,True
1889222,60,0.99,DOWN,0,True
1889280,0,0.99,DOWN,0,True
1889290,0,0.99,DOWN,0,True
1889295,45,0.88,DOWN,1,False
1889302,60,0.99,UP,1,True
1889339,2,0.91,UP,1,True
1889340,60,0.97,UP,1,True
1889367,13,0.88,DOWN,0,True
1889382,57,0.89,DOWN,0,True
1889418,28,0.9,DOWN,0,True
1889544,60,0.97,DOWN,0,True
1889547,60,0.93,DOWN,0,True
1889555,12,0.9,DOWN,0,True
1889629,15,0.9,UP,1,True
1889643,60,0.999,DOWN,0,True
1889662,55,0.88,DOWN,1,False
1889689,60,0.99,DOWN,0,True
1889694,55,0.89,DOWN,0,True
1889702,60,0.92,DOWN,0,True
1889717,60,0.99,DOWN,0,True
1889793,54,0.88,DOWN,0,True
1889914,60,0.95,DOWN,0,True
1889931,60,0.99,UP,1,True
1889935,30,0.89,DOWN,1,False
1889987,27,0.91,DOWN,0,True
1890010,34,0.99,UP,1,True
1890028,60,0.99,DOWN,0,True
1890056,60,0.99,UP,1,True
1890067,60,0.88,DOWN,0,True
1890076,28,0.88,UP,1,True
1890087,60,0.98,DOWN,0,True
1890326,2,0.89,UP,1,True
1890435,59,0.88,UP,1,True
1890466,60,0.99,DOWN,0,True
1890470,60,0.99,UP,1,True
1890531,60,0.91,UP,1,True
1890547,60,0.89,UP,1,True
1890550,0,0.99,UP,1,True
1890559,60,0.96,DOWN,0,True
1890592,37,0.88,UP,1,True
1890602,60,0.98,DOWN,0,True
1890613,60,0.97,DOWN,0,True
1890624,60,0.98,UP,1,True
1890673,60,0.98,UP,1,True
1890797,30,0.9,UP,1,True
1890818,60,0.995,UP,1,True
1890825,58,0.91,DOWN,1,False
1890893,60,0.95,DOWN,0,True
1890898,58,0.88,DOWN,0,True
1890934,0,0.99,DOWN,0,True
1890955,45,0.89,DOWN,0,True
1890980,60,0.88,UP,0,False
1890997,49,0.88,DOWN,0,True
1891011,60,0.99,DOWN,0,True
1891018,60,0.97,UP,1,True
1891053,60,0.995,DOWN,0,True
1891161,60,0.96,DOWN,0,True
1891188,60,0.99,DOWN,0,True
1891233,37,0.91,UP,1,True
1891291,60,0.97,DOWN,0,True
1891300,60,0.99,UP,1,True
1891321,60,0.92,DOWN,1,False
1891329,4,0.9,DOWN,0,True
1891382,57,0.9,DOWN,0,True
1891390,30,0.9,DOWN,0,True
1891403,60,0.96,UP,1,True
1891416,60,0.96,DOWN,0,True
1891440,60,0.99,DOWN,0,True
1891552,9,0.9,UP,1,True
1891576,48,0.89,DOWN,0,True
1891587,6,0.9,DOWN,1,False
1891688,60,0.99,UP,1,True
1891694,5,0.88,DOWN,0,True
1891739,60,0.99,UP,1,True
1891770,0,0.99,DOWN,0,True
1891808,38,0.89,DOWN,0,True
1891852,6,0.89,DOWN,0,True
1891868,25,0.9,UP,1,True
