market_id,entry_secs,entry_price,el_vel,n_s180,el_side,resolution,win,vel_bin,ep_bin,secs_bin
1367990,89,0.835,0.205,2,UP,1,True,0.17-0.25,0.84,61-90
1384809,104,0.845,0.205,2,UP,1,True,0.17-0.25,0.85,91-120
1386907,106,0.835,0.19,2,UP,1,True,0.17-0.25,0.84,91-120
1390447,104,0.835,0.17,2,UP,1,True,,0.84,91-120
1393629,100,0.845,0.175,2,DOWN,0,True,0.17-0.25,0.85,91-120
1395266,103,0.845,0.175,2,UP,0,False,0.17-0.25,0.85,91-120
1400449,104,0.845,0.17,2,UP,1,True,,0.85,91-120
1403118,104,0.835,0.1775,2,DOWN,1,False,0.17-0.25,0.84,91-120
1411630,105,0.825,0.175,2,DOWN,0,True,0.17-0.25,0.83,91-120
1411715,105,0.845,0.19,2,UP,1,True,0.17-0.25,0.85,91-120
1418050,104,0.84,0.17,2,DOWN,0,True,,0.84,91-120
1422096,102,0.835,0.175,2,DOWN,0,True,0.17-0.25,0.84,91-120
1422553,104,0.835,0.17,2,DOWN,0,True,,0.84,91-120
1442843,104,0.825,0.18,2,DOWN,0,True,0.17-0.25,0.83,91-120
1444104,101,0.835,0.17,2,DOWN,0,True,,0.84,91-120
1452787,99,0.835,0.375,2,DOWN,0,True,0.35-0.50,0.84,91-120
1453921,63,0.845,0.22,2,UP,1,True,0.17-0.25,0.85,61-90
1461104,94,0.845,0.17,2,DOWN,0,True,,0.85,91-120
1462501,99,0.845,0.17,2,DOWN,0,True,,0.85,91-120
1463702,98,0.835,0.185,2,DOWN,0,True,0.17-0.25,0.84,91-120
1464146,93,0.84,0.22,2,UP,1,True,0.17-0.25,0.84,91-120
1474648,95,0.835,0.19,2,UP,1,True,0.17-0.25,0.84,91-120
1480630,100,0.835,0.175,2,DOWN,0,True,0.17-0.25,0.84,91-120
1480925,100,0.845,0.2333,2,UP,1,True,0.17-0.25,0.85,91-120
1497947,93,0.845,0.19,2,UP,1,True,0.17-0.25,0.85,91-120
1510189,93,0.84,0.2125,2,UP,1,True,0.17-0.25,0.84,91-120
1534461,101,0.825,0.17,2,UP,1,True,,0.83,91-120
1537445,96,0.845,0.18,2,UP,1,True,0.17-0.25,0.85,91-120
1550267,97,0.835,0.175,2,DOWN,0,True,0.17-0.25,0.84,91-120
1559375,92,0.835,0.21,2,DOWN,0,True,0.17-0.25,0.84,91-120
1567257,93,0.835,0.27,2,UP,1,True,0.25-0.35,0.84,91-120
1569780,95,0.84,0.1775,2,DOWN,0,True,0.17-0.25,0.84,91-120
1585531,97,0.825,0.175,2,DOWN,0,True,0.17-0.25,0.83,91-120
1672647,83,0.845,0.17,2,UP,1,True,,0.85,61-90
1687158,97,0.825,0.18,2,UP,1,True,0.17-0.25,0.83,91-120
1761397,84,0.825,0.19,2,DOWN,0,True,0.17-0.25,0.83,61-90
1771578,61,0.825,0.22,2,UP,1,True,0.17-0.25,0.83,61-90
